tipo,municipios,distancia_total_km,custo_combustivel,custo_pedagio,custo_alimentacao,custo_estadia,custo_total
Final de Semana (Pernoite),['Rosana'],1351.43871439891,435.4635857507599,202.7158071598365,200,200,1038.1793929105963
Final de Semana (Pernoite),['Euclides da Cunha Paulista'],1258.5042850821749,405.51804741536745,188.7756427623262,200,200,994.2936901776936
Final de Semana (Pernoite),['Itapura'],1218.0184772661535,392.47262045242724,182.702771589923,200,200,975.1753920423503
Final de Semana (Pernoite),['Ilha Solteira'],1217.1516596829565,392.19331256450823,182.57274895244348,200,200,974.7660615169517
Final de Semana (Pernoite),['Presidente Epitácio'],1213.5658878962602,391.03789721101714,182.03488318443902,200,200,973.0727803954562
Final de Semana (Pernoite),"[""Santa Clara d'Oeste""]",1201.7413925817584,387.22778205412214,180.26120888726376,200,200,967.488990941386
Final de Semana (Pernoite),['Panorama'],1201.7133928455821,387.2187599169098,180.2570089268373,200,200,967.4757688437471
Final de Semana (Pernoite),['Paulicéia'],1201.0328051122356,386.99945942505366,180.15492076683532,200,200,967.154380191889
Final de Semana (Pernoite),['Rubinéia'],1198.2280942271714,386.0957192509774,179.7342141340757,200,200,965.8299333850531
Final de Semana (Pernoite),['Castilho'],1187.3447511522736,382.588864260177,178.10171267284105,200,200,960.6905769330181
Final de Semana (Pernoite),['Caiuá'],1186.209037419816,382.2229120574963,177.9313556129724,200,200,960.1542676704687
Final de Semana (Pernoite),['Santa Mercedes'],1183.60498918324,381.3838298479328,177.54074837748598,200,200,958.9245782254188
Final de Semana (Pernoite),"['Santa Fé do Sul', 'Três Fronteiras']",1192.0993380954653,384.120897830761,178.8149007143198,200,200,962.9357985450808
Final de Semana (Pernoite),['Santa Albertina'],1176.9592384078842,379.24242126476264,176.54388576118262,200,200,955.7863070259452
Final de Semana (Pernoite),"[""Santa Rita d'Oeste"", 'Aspásia']",1199.3861127133118,386.46885854095603,179.90791690699677,200,200,966.3767754479528
Final de Semana (Pernoite),"[""São João do Pau d'Alho"", 'Nova Guataporanga']",1190.9027783298873,383.73533968407475,178.63541674948308,200,200,962.3707564335579
